pid,LatDist,LongDist,MaxVel,MeanVel,MaxLatAcc,MeanLatAcc,MaxLongAcc,MeanLongAcc,MaxLatJerk,MeanLatJerk,MaxLongJerk,MeanLongJerk,NumPks,MaxPkAmp,MeanScl,MeanEntropy,MaxEntropy,MeanDwell,MaxDwell,MeanHr,MaxHr,Event,Trial
20,5.823997,200,10.297112,9.9639918325,0.582549,0.1606057734,-0.585382,0.4313982562,0.343177,0.0832182266,0.178744,0.0144681429,0,-0.0123379878,-0.0123379878,0.1747482654,0.2079172131,0.810472232,0.8462107169,97.4211117087,116.0952673328,1,2
20,200,200,10.334168,4.6275526,-0.329765,0.1277525194,-2.941973,1.0947811701,0.250936,0.036693391,1.057503,0.1886935075,2,0.2860301496,-0.0398211931,0.1616865977,0.2007336514,0.8036797207,0.8503841828,116.5817349523,138.7200112285,2,2
20,200,19.72674,9.741162,2.440957363,-0.153098,0.0534264303,-2.679263,0.8001317596,-0.111846,0.013911476,1.162716,0.151654476,1,0.4977725178,0.2042789421,0.1072403794,0.187256799,0.8974586484,0.9485177212,99.6561860658,121.2354120802,3,2
20,200,200,9.762553,8.7404373004,3.824165,1.6677697719,-2.15255,0.5670415095,-0.81271,0.30292873,-0.48845,0.0968000532,1,0.1484887856,-0.0228349099,0.2178676022,0.2425089533,0.7939791421,0.8543288991,114.7227316897,123.2641322872,4,2
19,7.645781,200,10.20357,9.7411495622,0.541851,0.1830273781,-0.384086,0.1598127861,-0.357962,0.1328035522,0.250908,0.0873611095,0,-0.064847301,-0.064847301,0.2345798034,0.2821670929,0.7618043849,0.8301585579,85.8461256605,89.0182721016,1,0
19,200,38.058309,9.905085,4.5528024708,-0.336574,0.1251245643,-2.802118,1.0631304474,0.549058,0.0956060146,2.733862,0.4775315234,1,0.0210372267,-0.0420025028,0.2002047524,0.2491816528,0.6956880622,0.7520988886,66.7569154724,80.3387749894,2,0
19,200,15.721564,9.583562,1.861601746,0.847229,0.16906739,-2.968645,0.7658290317,0.95822,0.0898607551,-3.264208,0.3694898594,1,0.0710457784,-0.0344894524,0.2130682086,0.2823521164,0.6938521857,0.8022585936,85.2089072491,111.0549067763,3,0
19,200,200,9.849867,9.0316579646,3.819443,1.7177713858,-1.477369,0.4292419764,-2.167892,0.7519761024,-0.905295,0.2122193504,1,0.0295273244,0.0585897746,0.2880381098,0.3068895365,0.5917277787,0.6659671314,98.1642409342,184.3377226457,4,0
29,6.324052544,200,10.293078,9.9892702525,0.57749,0.1674903267,-0.596371,0.4346130891,-0.652833,0.2033803465,-0.293588,0.0379039554,0,-0.002278566,-0.002278566,,,0.5777853344,0.7439807661,110.9198737385,129.0698794768,1,2
29,200,200,10.422129,4.5854190801,-0.371522,0.143240727,-2.967049,1.1041872967,-0.482736,0.0930285786,2.639197,0.4825862552,0,0.0007311468,0.0007311468,,,0.3311552131,0.6775616597,85.4745783039,99.464031039,2,2
