,pid,Comfort,Anxiety,LatDist,LongDist,MaxVel,MeanVel,MaxLatAcc,MeanLatAcc,MaxLongAcc,MeanLongAcc,MaxLatJerk,MeanLatJerk,MaxLongJerk,MeanLongJerk,NumPks,MaxPkAmp,MeanScl,MeanEntropy,MaxEntropy,MeanDwell,MaxDwell,MeanHr,MaxHr,Event,Trial
167,29,10,2,200.0,200.0,9.69064,6.2764389089999995,2.284748,0.9683132229000001,-1.985197,0.8138359143,1.6627450000000001,0.45203468,1.7968810000000002,0.3671431743,0,0.0002557482,0.0002557482,,,0.5029835181,0.7500760853,73.07503389,93.29716856,4,0
168,28,7,3,4.236432,200.0,10.028780000000001,9.509784142,0.46431999999999995,0.16577682929999998,-0.36836199999999997,0.1480523805,-0.139229,0.0459841659,0.15090599999999998,0.0380115317,1,0.1798082338,0.24487828920000002,0.2728289083,0.2999113739,0.4571617057,0.6108236861,101.87545390000001,112.48649579999999,1,3
169,28,8,2,200.0,200.0,9.986924,4.5765214180000005,-0.395496,0.1360963798,-2.827729,1.084139683,0.176063,0.0370570623,1.1517620000000002,0.19667391690000002,0,-0.2672107951,-0.2672107951,0.2283281991,0.2493512808,0.302238155,0.35492921299999997,107.1799595,115.98650959999999,2,3
170,28,6,3,200.0,8.668754,9.72754,1.846735854,0.9530350000000001,0.19140108329999997,-3.024102,0.8318044144,0.37388699999999997,0.0414651059,-1.2959889999999998,0.1737257613,3,0.7515122679,0.1251944259,0.2164911922,0.2586781665,0.279122543,0.3870962242,84.00165856,110.6105905,3,3
171,28,8,3,200.0,200.0,9.747964,8.768082663,3.812339,1.6569697280000002,-2.442761,0.5531882604999999,-0.926394,0.3004833985,-0.457025,0.1077843218,0,0.0616713163,0.0616713163,0.18593918559999997,0.2085372375,0.2088639538,0.2592902671,112.98506119999999,173.687001,4,3
172,10,6,5,11.722821000000001,200.0,10.1443,9.71911511,0.613844,0.2118866468,-0.387727,0.1385867562,0.17476,0.054062512400000005,0.119965,0.031840209,0,0.0818562897,0.0818562897,0.2007024002,0.20213104699999998,-0.023332754700000003,-0.0126345469,92.22008814,97.58148298,1,0
173,10,4,6,200.0,25.1748329,11.03256,2.417483833,-0.402893,0.1226673105,-3.223114,0.6801326552,0.256747,0.0240624477,-1.267282,0.1489121997,3,-0.0849928898,-0.2059751934,0.1907257049,0.1912490746,-0.0992976289,-0.0948631907,76.35254438,83.72145102,2,0
174,10,4,7,200.0,5.495294,11.012088,1.454292605,0.8363379999999999,0.1943227504,3.14385,0.7979676088,-0.461996,0.036605146899999996,-1.450652,0.1471176779,4,0.4193098425,0.2209765026,0.1920684288,0.1937855295,-0.090510214,-0.0783832908,81.37839739,112.4008838,3,0
175,10,7,4,200.0,200.0,9.779991,9.026776776,3.833506,1.7056811930000002,-1.546201,0.4021532087,-0.86154,0.2985611575,-0.36042399999999997,0.0751707559,0,-0.1765224427,-0.1765224427,0.20262915480000002,0.2046068691,-0.0146712319,-0.00034315800000000004,83.49036334,85.91275233,4,0
176,19,7,2,6.996136,200.0,10.280137,9.94906698,0.6033390000000001,0.1586939559,-0.5737680000000001,0.4382291961,-0.788912,0.1878483725,-0.301026,0.034705848,0,0.1752315823,0.1752315823,0.19650808309999998,0.2604062181,0.8085022491,0.9124978790999999,92.95771489,95.58018624,1,2
177,19,8,1,200.0,200.0,9.627467999999999,4.517356595,-0.341017,0.1218461924,-2.747189,1.056546385,-0.44386899999999996,0.08794265890000001,2.5588330000000004,0.45808218079999996,1,0.3460727232,-0.011347368200000001,0.1742456958,0.21095068260000002,0.8251559321999999,0.8682609544,106.65650009999999,118.9232237,2,2
178,19,7,2,200.0,12.418572,9.926249,2.427369903,-0.23015700000000003,0.1448028652,-2.728005,0.6950201323999999,0.26513200000000003,0.0323358582,2.9340580000000003,0.3223735768,2,0.8926227183,0.07977209980000001,0.1525260053,0.17927292690000002,0.8316254973999999,0.9063944884999999,105.4661128,121.2685369,3,2
179,19,8,2,200.0,200.0,9.703683,6.57351895,3.8281910000000003,1.1220555209999998,-2.009697,0.7463192317,-2.089341,0.5089076096,1.659837,0.23184179600000002,0,-0.1206547163,-0.1206547163,0.18945474899999998,0.2622805788,0.5931662525,0.6598050689,102.400405,118.6003243,4,2
180,24,9,3,7.909282000000001,200.0,10.123294999999999,9.672340153,0.5597409999999999,0.1799779951,-0.394273,0.1437129754,0.390877,0.1317663399,0.250591,0.083873867,0,0.0340171298,0.0340171298,,,0.1183343765,0.3669344935,83.63946715,93.70503229,1,0
181,24,3,3,200.0,35.718654,10.373287,1.699859965,-0.42974700000000005,0.09845972300000001,-3.5011690000000004,0.4790525747,0.471479,0.0422705147,3.091992,0.22255406649999998,1,0.0654409835,-0.0402123868,,,0.5248132168,0.8623309417,74.79381541,116.3269186,2,0
182,24,7,3,200.0,13.233704999999999,9.115561999999999,1.7580757269999998,0.479692,0.1690192129,-2.331302,0.7481914989,0.570203,0.06534536769999999,-3.3353010000000003,0.3825631462,1,0.0534225044,-0.043372891,,,0.1830935356,0.5371399954,67.12074082,92.94831635,3,0
183,24,3,3,200.0,200.0,9.792366000000001,8.993181337000001,3.8430129999999996,1.702222898,-1.7106009999999998,0.4505814275,-2.2166580000000002,0.7630024941,-1.399169,0.22141430980000001,1,0.0863600125,0.0701949127,,,0.1888087781,0.3114041962,78.03426476,92.01783999,4,0
184,23,10,1,8.792923,200.0,10.13208,9.706187577,0.620659,0.2049129652,-0.404006,0.1282239104,0.434906,0.1273903234,0.24842600000000004,0.0828022587,0,-0.0230517577,-0.0230517577,0.1932774519,0.22587842019999999,0.2504656982,0.2969488213,127.2881624,150.1253153,1,0
185,23,9,2,200.0,31.782008,10.225595,4.44830556,-0.33359,0.11420999999999999,-2.874373,0.93888306,-0.43871800000000005,0.0924746343,2.991041,0.57609564,1,0.17022768230000002,0.021119482599999996,0.0744298841,0.09640994359999999,0.0744587001,0.1042712584,122.46839340000001,137.4438959,2,0
186,23,9,2,200.0,10.189403,8.450445,1.9749107,0.726951,0.1778347842,-2.903439,0.8101516667,0.604622,0.0870801655,3.01607,0.3943930719,2,0.3707295228,0.1839374677,0.0638967971,0.0981050148,0.0695627414,0.1124651309,96.57937585,113.62180740000001,3,0
187,23,8,8,200.0,200.0,9.772702,8.795418435,3.792049,1.6729088630000002,-2.20371,0.5528950382,-2.135098,0.7324963092,-1.329461,0.254132813,0,-0.0666907075,-0.0666907075,0.0732087958,0.12365848269999999,0.053559626,0.09841749710000001,107.0380118,116.34061740000001,4,0
188,19,8,2,10.345527,200.0,10.288518,9.961698089,0.57525,0.1565334703,-0.590443,0.439851995,-0.767674,0.19946836140000002,0.36493400000000004,0.033604197999999995,2,0.09688165929999999,0.0118160007,0.18584960420000002,0.2297192271,0.7727654731,0.8582361714,96.78602299,102.5662485,1,1
189,19,8,1,200.0,200.0,10.273425,4.636193243999999,-0.321108,0.1267921548,-2.91675,1.094838583,-0.5626439999999999,0.0955571815,2.8851150000000003,0.4671278393,1,-0.0895874602,-0.08474268410000001,0.21372763170000003,0.2980159625,0.7837748392,0.8542260722,77.43248524,96.79795442,2,1
190,19,8,1,200.0,11.822673,10.128108000000001,2.7273254000000002,-0.16883800000000002,0.0765675693,-2.971498,0.6708796945000001,-0.23758200000000002,0.030056685,2.942637,0.3566647913,0,0.0177759964,0.0177759964,0.17251263100000003,0.2216569377,0.7492355825,0.8582891543000001,88.82670422,102.8505494,3,1
191,19,7,1,200.0,200.0,9.877221,9.050589236,3.8317730000000005,1.7128042319999999,-1.7397040000000001,0.4225630748,-2.16141,0.7623542323,-1.0313370000000002,0.22428728350000002,1,-0.0041561899,0.008165968000000001,0.21287910989999997,0.24013749410000002,0.6918717292000001,0.7679509676,94.48061565,113.89635030000001,4,1
192,15,9,1,7.536430999999999,200.0,10.16461,9.620135461,0.48333100000000007,0.160571451,-0.393743,0.1993979265,-0.34328400000000003,0.1081155833,0.41020100000000004,0.09356781369999999,0,-0.0705312243,-0.0705312243,0.1650395676,0.20172318879999998,0.23973677059999998,0.28072245,115.64104479999999,124.26870420000002,1,3
193,10,8,4,6.215815,200.0,10.211068,9.898505667,0.571859,0.1554302598,-0.747334,0.46712424020000004,0.452428,0.0825719167,0.215502,0.025497794100000002,0,-0.006356710600000001,-0.006356710600000001,0.2454538989,0.2780119312,0.3028350972,0.3549693851,87.64577908,98.88514365,1,1
194,10,6,5,200.0,200.0,10.052483,4.395913304,-0.346932,0.1087878182,-2.9932380000000003,1.031136099,-0.202571,0.0330759176,1.120945,0.192160054,2,0.2474931457,-0.0408956324,0.083677585,0.1644159118,0.07864153,0.1931841754,79.1229599,86.61406453,2,1
195,10,5,5,200.0,18.298154,10.067215,3.125612611,0.125041,0.0369479783,-3.223055,0.7163103651999999,-0.093943,0.013535291299999998,1.3196780000000001,0.1462472543,2,0.2644142908,0.15310057300000002,0.15011772339999999,0.20964759460000001,0.24499154280000002,0.4191337914,103.1825403,116.1181371,3,1
196,10,8,2,200.0,200.0,9.611892999999998,7.545205809,2.258983,1.10968399,-1.562825,0.5065424013000001,0.627045,0.1906624868,-0.605873,0.1401525757,0,-0.0299608877,-0.0299608877,0.1334049942,0.1932176553,0.1820274732,0.3109396021,85.68513783,90.77822761,4,1
197,28,9,1,4.616382,200.0,10.213696,9.813725898,-0.57708,0.1651872683,-1.03779,0.5075455853999999,-0.437037,0.1044677366,-0.398321,0.042055658499999996,0,-0.1524872136,-0.1524872136,0.2597801791,0.28730317829999996,0.4593356487,0.5454177592,101.55054809999999,107.28108130000001,1,1
198,28,9,2,200.0,200.0,10.422943,4.49404898,-0.384515,0.1406899625,-2.92233,1.076745991,-0.189125,0.0383863689,1.035711,0.18731105480000002,1,0.7313761304,0.1949147401,0.2569235114,0.2891723748,0.5305432115,0.7038299620999999,95.73946437,115.5926735,2,1
199,28,8,2,200.0,10.152928999999999,9.96067,2.97568347,-0.223843,0.0788456046,-2.911266,0.8233288716,-0.0979,0.014662399599999999,0.915542,0.1231471781,3,0.5110726038000001,0.1554537903,0.2239829008,0.27320642559999997,0.5177875953,0.7238873140000001,93.42441225,119.2320892,3,1
200,28,9,1,200.0,200.0,9.716364,6.593264984,2.2871330000000003,1.056011925,-2.19328,0.8540433208,0.678495,0.19520831760000001,0.858296,0.162259761,1,0.3190074144,0.1418589933,0.2346785579,0.2666027929,0.3412250109,0.37903264600000003,83.22937311,143.5243977,4,1
201,12,8,1,5.972961,200.0,10.072921000000001,9.823872605,0.54057,0.1474500927,-0.656112,0.45763518049999996,-0.6097819999999999,0.1806708293,0.668497,0.0517982878,0,0.3683915753,0.3683915753,0.2212893146,0.2482318732,0.7105522168999999,0.8217365186,81.70786108,96.61621214,1,1
202,12,8,1,200.0,200.0,10.452113,4.495396400000001,-0.387964,0.1254406522,-3.191703,1.099900119,0.582232,0.09432466960000001,2.845206,0.5093058812,1,-0.0010228394,0.0696096639,0.20330694289999998,0.2353526202,0.6387765193,0.7620415212999999,94.21578341,114.88823219999999,2,1
203,12,7,2,200.0,18.172132,10.093933,3.057196302,-0.143716,0.0461281404,-3.223017,0.758680334,-0.236981,0.0351565723,3.384091,0.3865627021,2,1.24414884,0.18229511539999999,0.231785837,0.2624356788,0.6532897553,0.7319611652,91.14170490000001,105.75439420000001,3,1
204,12,8,1,200.0,200.0,9.656212,6.930804232000001,2.2639720000000003,1.011364247,-1.650263,0.6896242169,1.584362,0.448851006,-1.457543,0.3117097229,0,-0.3828770268,-0.3828770268,0.2196270627,0.2636778248,0.6380637562,0.7260626417,87.71491979,101.413485,4,1
205,27,10,1,9.524573,200.0,10.23615,9.937800434,0.593413,0.15962,-0.824356,0.4798594778,-0.252033,0.0671371527,0.234019,0.027672965499999997,0,0.0249481807,0.0249481807,0.2647184929,0.3034788916,0.6879062982999999,0.762878715,146.0440409,168.7943512,1,2
